Plot,Isolate_x,Isolate_y,SICA,escape_ratio_x_from_y,escape_ratio_y_from_x,alt_escape_ratio_x_from_y,alt_escape_ratio_y_from_x
4,4A,4F,Tetracycline,5.583333333,Inf,0.913992298,0.446412755
4,4A,4F,Vancomycin,59.69444444,Inf,1.90885751,0.338352524
4,4A,4G,Chloramphenicol,1.902634593,Inf,0.871217712,0.10213375
4,4A,4G,Rifampicin,1.120274914,Inf,0.936531365,0.243169399
4,4A,4G,Streptomycin,0.553264605,NA,0.948708487,0.552563102
4,4A,4G,Streptothricin,0.801832761,NA,0.736900369,0.834113973
4,4A,4G,Tetracycline,0.884306987,Inf,1.047232472,0.374186833
4,4A,4G,Vancomycin,2.268041237,Inf,1.965313653,0.304579755
4,4A,4H,Chloramphenicol,0.127320955,Inf,0.099641577,1.255033557
4,4A,4H,Rifampicin,0.679045093,Inf,0.497491039,1.555788591
4,4A,4H,Streptomycin,0.262599469,Inf,0.297132616,2.761325503
4,4A,4H,Streptothricin,10.33421751,NA,3.277060932,0.029362416
4,4A,4H,Tetracycline,0,Inf,0.188172043,1.960989933
4,4A,4H,Vancomycin,1.925729443,Inf,1.289605735,1.070050336
4,4A,4I,Chloramphenicol,0.210141813,Inf,0.173193341,1.980640854
4,4A,4I,Rifampicin,0.155565105,Inf,0.141032917,3.234979973
4,4A,4I,Streptomycin,1.547915771,NA,0.629209232,1.216955941
4,4A,4I,Streptothricin,1.115169746,NA,0.76286417,1.394526035
4,4A,4I,Tetracycline,2.091534164,NA,0.655505108,0.138184246
4,4A,4I,Vancomycin,0.496776966,Inf,0.440408627,1.986648865
4,4A,4J,Chloramphenicol,0.361670395,Inf,0.203847324,123.1538462
4,4A,4J,Rifampicin,0.116579667,Inf,0.084854015,375.3076923
4,4A,4J,Streptomycin,0.129753915,Inf,0.268552311,185.0769231
4,4A,4J,Streptothricin,0.753169277,NA,0.657998783,15.92307692
4,4A,4J,Tetracycline,1.109122545,Inf,0.558470195,20.69230769
4,4A,4J,Vancomycin,0.610986826,Inf,0.559990876,64.46153846
4,4B,4C,Chloramphenicol,0.098974359,12.76923077,0.183134739,1.865439093
4,4B,4C,Rifampicin,0.145128205,0,0.8527956,0.886685552
4,4B,4C,Streptomycin,0.203076923,0.138461538,1.002749771,0.182719547
4,4B,4C,Streptothricin,0,0.492307692,0.262511457,3.711048159
4,4B,4C,Tetracycline,0.832307692,0,0.681759853,0.209631728
4,4B,4C,Vancomycin,0.197435897,20.33846154,0.193033914,5.366855524
4,4B,4D,Chloramphenicol,4.964285714,9,4.372037915,0.220880779
4,4B,4D,Rifampicin,0.571428571,0.37037037,2.931279621,1.04980107
4,4B,4D,Streptomycin,3.053571429,0.37962963,2.763033175,0.829194677
4,4B,4D,Streptothricin,39.20535714,0,20.26777251,0.021402113
4,4B,4D,Tetracycline,0,4.092592593,1.144549763,0.646316367
4,4B,4D,Vancomycin,9.267857143,8.638888889,4.369668246,0.385512416
4,4B,4E,Chloramphenicol,2.542211653,0.596774194,0.800998129,0.010559191
4,4B,4E,Rifampicin,0.44351962,3.887096774,0.717404866,1.038072576
4,4B,4E,Streptomycin,1.808561237,6.596774194,1.339051778,0.653777513
4,4B,4E,Streptothricin,2.969084423,0,1.703992514,0.641582391
4,4B,4E,Tetracycline,3.891795482,1.048387097,1.363693075,0.061273052
4,4B,4E,Vancomycin,0.067776457,77.29032258,0.087336245,2.161957168
4,4B,4F,Chloramphenicol,Inf,7.5,1.94386423,0.29250133
4,4B,4F,Rifampicin,NA,0,0.604438642,1.555043432
4,4B,4F,Streptomycin,Inf,0.620689655,0.932114883,1.275128523
4,4B,4F,Streptothricin,Inf,0,2.272845953,0.548661585
4,4B,4F,Tetracycline,Inf,1.577586207,1.412532637,0.316433257
4,4B,4F,Vancomycin,Inf,15.68103448,1.740208877,0.857472079
4,4B,4G,Chloramphenicol,3.17287234,2.184397163,1.733855186,0.090699855
4,4B,4G,Rifampicin,11.56648936,0.70212766,10.39041096,0.051231779
4,4B,4G,Streptomycin,1.930851064,1.787234043,2.823874755,0.285823885
4,4B,4G,Streptothricin,1.468085106,0.241134752,1.529354207,0.569175688
4,4B,4G,Tetracycline,1.736702128,2.574468085,1.768101761,0.374051658
4,4B,4G,Vancomycin,1.228723404,14.45390071,0.764187867,0.552723553
4,4B,4H,Chloramphenicol,1.0625,26.06849315,0.976086957,0.696561258
4,4B,4H,Rifampicin,14.71428571,0,16.36304348,0.086227752
4,4B,4H,Streptomycin,1.071428571,0.205479452,1.717391304,0.9218939
4,4B,4H,Streptothricin,31.80357143,0,18.43913043,0.018835321
4,4B,4H,Tetracycline,0,5.917808219,0.330434783,1.18282357
4,4B,4H,Vancomycin,1.035714286,38.64383562,0.554347826,1.364437532
4,4B,4I,Chloramphenicol,0.293428757,9.974683544,0.23750844,1.320557491
4,4B,4I,Rifampicin,0.653871178,0.17721519,1.223160027,0.484707704
